Dispatch responds...	勤務中心回應了…
It is easier to drive from the other side.	從另一邊開過去比較容易。
This guy's not saying anything that makes sense.	這傢伙講的話完全不知所云。
He has already been frisked.	他已經被搜過身了。
You can't frisk him from out there.	你沒辦法從那裡搜他的身。
These folks look relieved now that you have this nut under control.	現在你已經控制住這個瘋子，這些人看起來鬆了一口氣。
Something has disturbed the picnickers.	有什麼東西打擾了野餐的人。
The picnickers haven't done anything wrong.	野餐的人沒有做錯什麼事。
You don't have your suit. Besides, you're on duty.	你沒帶泳衣，而且你還在值勤。
You don't have time for a picnic.	你沒空野餐。
You don't have time to climb trees.	你沒空爬樹。
Maybe The Bathonians beamed the guy up.	說不定是 Bathonians 把他用光束傳走了。
You! Don't try to stop me! You'll be vaporized if you interfere!.	你！別想阻止我！你要是敢干涉，就會被蒸發掉！
Hey! What are you doing? That's my badge!	喂！你在幹嘛？那是我的警徽！
The Bathonians scoff at your badge, lawman! The mothership will squash you like a pimple! This is your last warning!	Bathonians 才不甩你的警徽，條子！母船會把你像青春痘一樣壓扁！這是最後警告！
You can't believe this guy! Deranged men can be real slippery.	你真不敢相信這傢伙！瘋子有時候真的滑不溜丟，很難抓。
I'm warning you! If you don't leave, I'm gonna have to hurt you! This area must be evacuated!	我警告你！你要是不離開，我就得傷害你！這個區域必須疏散！
Fortunately you're carrying a spare shield. You put it on.	幸好你隨身帶著備用警徽，你把它戴上。
You search the deranged man's clothes, hoping for something which will lure him out of the water.	你搜查這名精神失常男子的衣物，希望能找到什麼東西把他引出水面。
You find nothing of interest in the clothes.	你在衣服裡沒找到什麼有用的東西。
You find a set of keys and a driver's license.	你找到一串鑰匙和一張駕照。
Hey, fella! I think I've got something of yours.	嘿，老兄！我這裡好像有你的東西。
Leave those keys alone, foolish mortal!	別碰那些鑰匙，愚蠢的凡人！
There! Now your keys and my badge are neighbors!	看吧！現在你的鑰匙跟我的警徽變鄰居了！
I'll kill you for that - you flat-headed, flat-footed, ignoramous!	我要為這件事殺了你——你這個扁頭扁腳的蠢貨！
Managing to subdue the deranged man with the nightstick, you check for injuries and see that he's more shaken-up than hurt.	你用警棍成功制伏這名精神失常的男子，檢查後發現他只是受到驚嚇，沒有受傷。
Suddenly...the perpetrator regains consciousness.	突然……犯人恢復了意識。
This is no time to go swimming.	現在不是游泳的時候。
You cuff the perpetrator while he's down, insuring that he won't have another chance to attack.	你趁犯人倒地時銬上他，確保他沒有機會再次攻擊。
Come out of there! Right now!	馬上從那裡出來！
The Bathonians need our water! They will suck this planet dry!	Bathonians 需要我們的水！他們會把這顆星球吸乾！
If you're here when they come, you'll be crushed like a pimple under the weight of the glorious mothership.	要是他們來的時候你還在這裡，你會被光榮的母船像青春痘一樣壓扁。
I'm warning you, mortal! You must leave now or DIE.	我警告你，凡人！你現在就得離開，不然就死路一條。
You MUST leave now! If you're here when they come, you'll be toast!	你現在就得離開！要是他們來的時候你還在這裡，你就完蛋了！
You there! Leave this place! I've got to secure it before the Bathonians come!	你，那邊那個！離開這裡！我得在 Bathonians 來之前把這裡封鎖好！
Clear out! Get away! The mothership approaches!	快走開！快離開！母船要來了！
Release those keys, mortal. I am the chosen one, not You!.	放開那些鑰匙，凡人。被選中的是我，不是你！
There's nothing else of interest in the clothes.	衣服裡沒有其他有用的東西了。
So,... Your a tailor now!?	這麼說……你現在是裁縫師啦！？
The man isn't listening to you.	這男的根本沒在聽你說話。
You can't subdue him from here.	你沒辦法從這裡制伏他。
What are you going to do, kiss him?	你是打算怎樣，親他嗎？
He's already down. Police brutality wasn't part of your training.	他已經倒地了，警察暴力可不是你受訓的內容。
You aren't going to shoot an unconscious man in the back are you?	你該不會想朝一個昏迷的人背後開槍吧？
You need to subdue him first.	你得先把他制伏。
Too late now...	現在太遲了……
Using a nightstick on someone who hasn't threatened you is against the law.	對一個沒有威脅到你的人動用警棍是違法的。
That guy wouldn't know or care if you were President of the United States.	就算你是美國總統，那傢伙也不會知道或在乎。
The lunatic is not impressed.	這個瘋子根本不為所動。
The water babbles back.	水聲潺潺，沒有回應。
Calling on your old softball arm, you haul back and throw the keys as far as you can into the river.	你使出當年打壘球練出的臂力，用力把鑰匙盡量遠遠地丟進河裡。
You need to restrain him first.	你得先把他制伏住。
This is not the time to turn your back.	現在不是背對他的時候。
Better stay clear of this area, Sonny, we're sweeping for evidence.	Sonny，你最好離這一區遠一點，我們正在採證。
