Leave Earl's stuff alone.	別動 Earl 的東西。
He briefs you on the character of Michael Bains.	他向你說明 Michael Bains 的性格分析。
This guy's not your average scumbag. He's closer to the slit-his-own-mother's-throat variety.	這傢伙不是普通的人渣，他比較接近會割自己親媽喉嚨那種。
I'd know more if I'd examined him, but based on this, I'd say he's a schizophrenic psychopath.	要是我親自診察過他會知道更多，但就這份資料來看，我認為他是個思覺失調的精神病態者。
This guy's criminally insane, Bonds. I'd be careful how I approached him.	這傢伙有刑事精神異常，Bonds。我要是你，接近他時會非常小心。
I told you, I can't diagnose thin air.	我說過了，我沒辦法對著空氣做診斷。
Excuse me, Dr. Aimes, I'm tracking a suspected serial killer.	不好意思，Aimes 醫生，我正在追查一名連續殺人案的嫌犯。
Think you can help me out by putting together a psychological profile on him?	你能不能幫我做一份他的心理側寫？
Where's your documentation? I can't diagnose thin air.	你的資料在哪裡？我沒辦法對著空氣做診斷。
You try striking up a conversation with Doctor Sidney Aimes.	你試著跟 Sidney Aimes 醫生攀談。
If you haven't got anything useful to show me, Bonds, please leave. I've no time for chit chat.	如果你沒有拿得出手的資料給我看，Bonds，請你離開，我沒時間閒聊。
I said, keep your hands off, Sergeant! Are you deaf?	我說了，手拿開，警佐！你是聾了嗎？
Would you mind not playing with my balls, please?	可以請你別碰我的球嗎？
Well, Bonds?  You've got your information, now go and catch him.	怎樣，Bonds？你已經拿到資料了，還不快去抓他。
Now that IS Freudian.	這下真的是佛洛伊德式的了。
He's already seen the military record.	他已經看過軍中紀錄了。
But... you're not a mindless executive.	但是……你又不是個沒頭腦的主管。
If you want to play psychologist, you bought the wrong game.	如果你想扮心理醫生，那你買錯遊戲了。
Doctor Aimes prefers to keep his personal property personal.	Aimes 醫生的私人物品，他希望保持私人。
No one seems to be around so you pick up the file. You notice that it's a personnel file of Pat Morales.	附近似乎沒人，你便拿起檔案。你發現這是 Pat Morales 的人事檔案。
Afraid of being caught snooping, you read only the doctor's summary.	你怕被抓到偷看，只讀了醫生的摘要部分。
1. Displays chronic insubordination.	一、長期表現出違抗上級的傾向。
2. Irrational hatred of authority figures.	二、對權威人物懷有不理性的敵意。
3. Low self esteem.	三、自尊心低落。
4. Borderline sociopath.	四、邊緣型反社會人格。
SUMMARY.	摘要。
Evaluation was suggested by Internal Affairs.	此項評估由內部事務處建議進行。
Officer Morales was involved in the destruction of evidence on three different occasions.	Morales 警員曾三次涉入銷毀證物事件。
Internal Affairs concluded the incidents were "coincidental" based on insufficient evidence for disciplinary action.	內部事務處以證據不足、無法採取懲處為由，將這些事件認定為「巧合」。
You return the file to the desk.	你把檔案放回桌上。
You prefer a cold beer to Freudian analysis!	比起佛洛伊德式的分析，你更想來瓶冰啤酒！
The parking lot isn't all that exciting a sight.	停車場的景色沒什麼好看的。
Nah. You have enough trash at home.	算了，你家裡的垃圾已經夠多了。
You don't feel like sitting down.	你不想坐下。
You can't get in there.	你進不去那裡。
Just looking at the titles of Dr. Aimes' books puts you to sleep.	光看 Aimes 醫生那些書的書名，就讓你想睡了。
Don't you have something better to do?	你沒有更好的事情做嗎？
You get enough vitamin 'B'.	你已經攝取夠多維他命 B 了。
You hand the requisition form to Mike, the head technician.	你把申請表交給技術主任 Mike。
"Hey, no problem. You've got the new Mark V model don't you? What a beaut!"	「嘿，沒問題。你拿到新的 Mark V 型號了吧？真是漂亮！」
It goes from zero to 30 Megahertz in 3.5 seconds.	它能在 3.5 秒內從零加速到 30 百萬赫。
And! It has a 4 Megabyte memory capacity, XGA graphics, and a 5 millisecond network access time.	而且！它有 4 百萬位元組的記憶體容量、XGA 繪圖，還有 5 毫秒的網路存取時間。
You wait for Mike to shut-up. But like a streak of bad luck, he keeps going.	你等著 Mike 閉嘴，但衰運當頭，他還在講個不停。
Just don't spill coffee on it, man!	千萬別把咖啡灑在上面啊，老兄！
You shoulda seen what I had to go through when the Chief dripped ice cream all over his. Yuck!	你真該看看局長把冰淇淋滴得滿機器都是時，我得收拾成什麼樣子。噁！
Mike logs your new card and places it on his desk.	Mike 登記了你的新卡片，把它放在桌上。
Okay Bonds, here's your card. It goes in face up, arrow first.	好了，Bonds，這是你的卡片。插的時候正面朝上，箭頭先進去。
I know that's a little hard for you cop types to handle, but you'll figure it out.	我知道這對你們警察來說有點難理解，但你會搞懂的。
It's real simple man. Just boot up your machine and stick in your card.	其實很簡單，老兄。開機之後把卡片插進去就行了。
You pick up the computer access card.	你拿起電腦存取卡。
Mike mumbles to himself...	Mike 自言自語地嘟囔……
I'm getting sick and tired of cops who don't return things.	我真是受夠了那些不物歸原主的警察。
You hear Mike tell the dispatcher.	你聽到 Mike 跟勤務中心人員說。
Get on the radio and tell that dimwit Banks to get that tracking device back to me.	用無線電通知那個笨蛋 Banks，把追蹤器還給我。
