Restore	載入
Well, that's Sonny's life - and it's a good one, worth protecting. And now it's time for you to assume the role of Detective Sonny Bonds. I happen to know you're in for a heck of a day.	這就是 Sonny 的生活——是值得保護的美好生活。現在該由你扮演警探 Sonny Bonds 的角色了。我碰巧知道你將面臨不平凡的一天。
Come on. This way.	來吧。這邊。
Wait for me, Sonny.	等等我，Sonny。
I'll catch up with you. Got to run to my car.	我會追上你。得先跑回我的車。
This is not the appropiate place to search a suspect.	這不是搜查嫌犯的合適地點。
These doors are sensor activated.	這些門由感應器控制。
The door is locked. I guess the Evidence Officer must be out to lunch.	門被鎖上了。我猜證物管理員可能出去吃午飯了。
You really should do something with the prisoner first.	你應該先處理那個囚犯。
You need to put the field equipment back into the trunk first.	你必須先把現場勘查設備放回後備箱。
A locker door.	一扇置物櫃門。
It is locked.	它被鎖上了。
You open the locker.	你打開了置物櫃。
You close the locker.	你關上了置物櫃。
You unlock the locker.	你打開了置物櫃的鎖。
Why don't open it first?	你為什麼不先打開它？
It's too long to fit in the gun locker.	它太長了，放不進槍櫃。
There's no regulation against carrying that into the jail.	沒有規定禁止把那個帶進監獄。
That locker is already taken.	那個置物櫃已經被佔用了。
Your key doesn't open that locker.	你的鑰匙打不開那個置物櫃。
Why don't you open it first?	你為什麼不先打開它？
You need to put your equipment back in the trunk.	你需要把你的裝備放回後備箱。
Now where do you think you are going???	你現在想去哪裡？？？
You're trying to be inconspicuous. Leave the marked car for uniformed officers.	你想保持低調。留下警車給制服警員。
Don't you think you should checkin at Homicide first?	你不認為應該先到重案組報到嗎？
The unmarked car is reserved for officers in plain clothes.	便衣車是給便衣警員用的。
You need one of those funny-looking keys.	你需要那種奇怪的鑰匙之一。
Sooo... what are we booking this fine upstanding citizen on anyway?	那麼……我們到底要以什麼罪名起訴這位高尚的公民呢？
Quit clowning around Bonds. Give me a real code.	別鬧了，Bonds。給我一個真正的代碼。
You sure about that Bonds? Better dust off that Officer's Manual and bone up on your codes.	你確定嗎，Bonds？最好翻出警員手冊補習一下你的代碼。
You got any ID on this guy Sonny?	Sonny，這傢伙有身分證嗎？
Yea, here you go.	是的，給你。
Any personal effects?	有什麼個人物品嗎？
One knife, concealed weapon.	一把刀，暗藏武器。
I'm returning your cuffs here through the drop box. Don't forget 'em!	我透過投遞箱把你的手銬還給你。別忘了！
Say, Bonds. Officer Morales is requesting a supervisor for a refusal to sign.	聽著，Bonds。Officer Morales 正要求上級來處理一個拒絕簽名的案件。
She's waiting out on the freeway near the 7th Avenue on ramp.	她在高速公路7號出口附近等著。
You find a knife concealed in the man's briefs. Good work!	你在那男子的內褲裡發現一把刀。做得好！
You remove your cuffs from the drunk.	你從醉漢身上摘下手銬。
You'd better have him dump out his pockets first.	你最好先叫他把口袋倒空。
Sir, please step over here and empty your pockets into this drawer.	先生，請走這邊來，把口袋裡的東西倒進這個抽屜。
Thanks, Sonny. Hope the rest of your patrol is less exciting.	謝謝，Sonny。希望你剩下的巡邏勤務沒那麼驚險。
Step over here, Sir. Now!	先生，這邊走。立刻！
I want you to blow as hard as you can into this tube.	我要你盡力對著這個管子吹。
According to this, your blood alcohol level is .15. That is well over the legal limit. I'll have to book you.	根據這個，你的血中酒精濃度是 .15。這已經大大超過法定上限。我得登錄你。
Hellooo!... Earth to Sonny! You gonna give me this guy's belongings or what?	喂！...Sonny，醒一醒！你到底要不要把這傢伙的東西交給我？
Well?..	怎樣？..
Bonds! You know better than to bring a prisoner in here without checking your gun first. That'll cost you a $2.50 fine.	Bonds！你應該知道帶犯人進來前要先交槍。這要罰你2.50元。
Put it here in the drop and you can get it back after you finished with the prisoner.	放在這個投置口裡，你處理完犯人後就可以拿回來。
You walk over, deposit your gun and grudgingly pay the $2.50 fine.	你走過去，放下槍，勉強付了2.50元的罰款。
You mean to tell me you fished that outta this guy's shorts? You've got some guts, Bonds.	你是說你從這傢伙的短褲裡掏出那東西？你膽子真大，Bonds。
Hey Sonny, you want to book this guy?	嘿，Sonny，你要登錄這傢伙嗎？
Let's get this prisoner booked, Bonds.	我們把這個犯人登錄了吧，Bonds。
Finish up and hand him over, Bonds.	處理完了就把他交過來，Bonds。
I'm about ready for a break, Bonds. Let's hurry up and get this guy behind bars so I can eat my sandwich.	Bonds，我快要休息了。我們快點把這傢伙關起來，這樣我好吃我的三明治。
I said I just got a message that you're to assist an officer on the freeway, Bonds. ASAP.	我說我剛收到一條訊息，要你立刻去高速公路協助一名警員，Bonds。
You gonna go get me some bodies to lock up, or what?	你是去替我抓幾個人關起來，還是怎樣？
Go catch some criminals, Bonds. I'm getting lonely in here.	去抓些犯人吧，Bonds。我在這裡都快寂寞了。
The booking officer can't help you unless you give him something to work with.	登錄官沒有東西就幫不了你。
Officer Bonds! It's extremely tacky to point your gun at a fellow officer, even in jest!	Bonds 警員！就算是開玩笑，用槍指著同事也很不得體！
He already knows who you are! Geez!	他已經知道你是誰了！天哪！
Ah, tell it to your mother.	哈，去跟你媽說吧。
I bet you like the strip search best of all.	我打賭你最喜歡的是全身搜身。
I hear a night stick is a cop's best friend.	我聽說警棍是警察最好的朋友。
Just get on with it unless you want a puddle.	要不你會尿出一灘來，所以快去做吧。
You're so close to handing him over to the jailer.   Surely you can hold your temper for another few minutes.	你距離把他交給獄卒只差一點了。你肯定可以再忍幾分鐘。
You've already searched him - and you didn't enjoy it much the first time.	你已經搜過他了，而且第一次搜的時候你也沒那麼喜歡。
How dry I am. How wet I'll be. If I don't find a place to p.....	我現在多乾。我待會有多濕。如果我找不到地方去 p.....
You're so close to handing him over to the jailer. Surely you can hold your temper for another few minutes.	你距離把他交給獄卒只差一點了。你肯定可以再忍幾分鐘。
You've already removed his cuffs.	你已經解下他的手銬了。
You take your gun, embarrassed that you didn't check it outside.	你拿起槍，為自己沒有在外面就檢查而感到尷尬。
What do you wish to put in the drop?	你要在投置口裡放什麼？
You'll have to take the cuffs off first.	你得先解下手銬。
You don't have anything to put in the drop.	你沒有東西可以放在投置口裡。
You put the suspect's knife into the drawer.	你把嫌犯的刀放進抽屜。
You put the suspect's license into the drawer.	你把嫌犯的證件放進抽屜。
Only prisoners are allowed through that door.	只有犯人可以通過那扇門。
One test is enough.	一次檢測就夠了。
You need to remove his cuffs first.	你得先解下他的手銬。
There's no reason to test this guy. His problems run deeper than alcohol!	沒必要測這傢伙。他的問題不只是酒精！
There's no one to test.	沒有人可以測。
You need to turn the machine on first.	你得先開機。
You turn on the Gas Chromatograph.	你打開了氣相色譜儀。
There's nothing except cleaning supplies and paper in the cabinets, none of which you need.	櫃子裡只有清潔用品和紙，你都不需要。
You don't need to use the pay phone.	你不需要用投幣電話。
You don't need any paper towels at the moment.	你現在不需要紙巾。
What case number, Sonny?	案號是什麼，Sonny？
Name?	名字？
Unknown source.	來源不詳。
Samuel Britt.	Samuel Britt。
Clifford Jones.	Clifford Jones。
Marie Bonds.	Marie Bonds。
Andrew Dent.	Andrew Dent。
John Doe.	John Doe。
Description of evidence?	證物的敘述？
Broken neck chain.	斷裂的項鍊。
Bronze Star.	銅星獎章。
Gold paint transfer.	金色烤漆轉移痕跡。
Skin and hair samples.	皮膚與毛髮採樣。
Personal photo.	個人照片。
Blood and hair samples.	血液與毛髮採樣。
Insignia Ring.	徽章戒指。
Cult book.	邪教書籍。
White paint sample.	白色烤漆樣本。
Location found?	發現地點？
Clutched in victim's right hand.	緊握在被害人右手中。
Scene of attack - mall parking lot.	攻擊現場——購物中心停車場。
Left rear quarter panel of abandoned 1973 Ford Pinto.	一輛遭棄置的1973年 Ford Pinto 左後葉子板。
Under victim's fingernails.	被害人指甲縫中。
Burned-out house, 500 block west Peach.	燒毀的房屋，西 Peach 街500號街區。
Left hand, murder suspect Steve Rocklin.	命案嫌犯 Steve Rocklin 的左手。
On body of murder suspect Steve Rocklin.	在命案嫌犯 Steve Rocklin 身上。
Left rear quarter panel of 1976 GTO.	1976年 GTO 左後葉子板。
And disposition?	處置方式呢？
Analyze for possible match to with paint transfer in case #199145.	分析是否與案號199145的烤漆轉移痕跡相符。
Analyze for possible vehicle type.	分析可能的車輛型號。
Analyze for DNA profile.	分析DNA圖譜。
Secure as evidence.	列為證物保管。
This is a new case Gibbs. I need a new number.	這是一件新案子，Gibbs。我需要一個新案號。
Ok Sonny, the next number is 199145.	好的 Sonny，下一個案號是199145。
You got something to drop off or are you just here for the show?	你是有東西要送交，還是純粹來看熱鬧的？
If you haven't got something for me, Bonds, do you mind clearing the path for officers that do?	如果你沒有東西要交給我，Bonds，可以請你讓路給有東西要交的員警嗎？
Are you here to book some evidence or are you just lost?	你是來登錄證物的，還是迷路了？
If you don't want to make a 'deposit', Bonds, why the hell are you here?	如果你不是來「投遞」的，Bonds，你到底來這裡幹嘛？
You could try it, but it would only get you suspended REAL fast.	你可以試試看，不過那只會讓你很快就被停職。
If you want to give Officer Gibbs something, use the evidence deposit slot.	如果你要交東西給 Gibbs 警員，請用證物投遞口。
Just put something in it.	放點東西進去就對了。
Evidence doesn't want that.	證物室不收這個。
Where the heck you goin', Sarge? This here's the ladies room! Men's is right next door.	你到底要去哪啊，警佐？這裡是女廁！男廁就在隔壁。
Whew, that lady ought to be in professional boxing!   Guess you went in at the wrong time.	哇，那位小姐去打職業拳擊都行！看來你走錯時間了。
"You men are all alike!  Only one thing on your filthy minds!  Freakin' pervert!"	「你們這些男人都一個樣！腦子裡就只有那件骯髒事！死變態！」
Hey, Sarge! Nice day, ain't it? Sure as heck would like ta be fishin'!	嘿，警佐！今天天氣不錯吧？真希望現在能去釣魚啊！
Ya know, there's a great little lake just outsida town that's chock fulla bass.	你知道嗎，鎮外有個小湖魚況超好，鱸魚多到爆。
Maybe y'all'd like ta go fishin' with me sometime.	改天說不定你也想跟我一起去釣魚。
Well, gotta get back ta work. Take care now, y'hear?	好啦，我得回去工作了。保重啊，聽到沒？
Mr. Stump, the toilet in the men's locker room is overflowing.	Stump 先生，男更衣室的馬桶滿出來了。
Think maybe you can take care of that for me? It's a real mess.	可以麻煩你處理一下嗎？真的是一團亂。
Well, I sure can! Heck, I'll get right on it, Sarge.	沒問題！我這就馬上去處理，警佐。
The door's already open.	門已經開了。
There's nothing you need in that box.	那個箱子裡沒有你需要的東西。
You take some flares.	你拿了一些照明彈。
You already have plenty of flares.	你的照明彈已經夠多了。
You take some batteries from the box.	你從箱子裡拿了一些電池。
You already have plenty of batteries.	你的電池已經夠多了。
Mr. Stumps is friendly, but he's not THAT friendly.	Stumps 先生人是很親切，但沒有親切到那種程度。
The janitor looks friendly enough, so you strike up a conversation.	這位工友看起來挺和善的，於是你上前攀談。
Looking for a new career?	在找新工作嗎？
But... there's no fire.	可是……根本沒有火災。
Just walk in.	直接走進去就行了。
You don't need to open the window.	你不需要打開窗戶。
The lights are left on during the day.	燈白天就這樣一直開著。
Looks like the janitor fixed the toilet.	看來工友已經把馬桶修好了。
You unroll all of the two ply toilet paper creating a big wad.	你把整捲雙層衛生紙都抽了出來，揉成一大團。
You toss the wad of paper into the toilet and flush it.	你把那團紙丟進馬桶裡沖掉。
The toilet complains loudly and starts to overflow.	馬桶發出很大的怪聲，開始滿出來。
Now, what was my combination? Oh yeah, I wrote it down on the inside cover of my Police Manual.	我的密碼是多少來著？對了，我寫在警員手冊的封面內側了。
The janitor looks a little busy at the moment. Better leave him alone and get on with your sleuthing?	工友現在看起來有點忙，還是別打擾他，繼續辦你的案子吧？
I wouldn't go in there with that toilet running.	那馬桶還在運轉，我勸你別進去。
Geez! Someone had some serious paper work to do in here. They musta' used an entire roll.	天啊！有人在這裡搞出好大的「紙上作業」，一定是把整捲都用光了。
Bet it was that Officer Walls again.	我敢說一定又是 Walls 警員幹的。
Flush. Flush. The spiraling water IS spellbinding, isn't it?	沖水、沖水。打旋的水流還真是迷人，對吧？
This is the men's locker room - not target practice.	這裡是男更衣室，不是打靶場。
Try your combination.	試試你的密碼。
Oops. The t.p. dispenser is empty. Good thing you noticed it while you're still standing.	糟了，衛生紙盒是空的。還好你現在還站著就發現了。
Someone's used up all the toilet paper. You'll have to wait for the janitor to fill the dispenser.	有人把衛生紙全用光了，你得等工友來補貨。
The dispenser is empty.	衛生紙盒是空的。
The janitor hasn't filled the dispenser with paper yet.	工友還沒把衛生紙補進盒子裡。
The "Roll King"dispenser is filled with a fresh new roll of standard issue, two-ply "Timbersoft" toilet paper.	「衛生紙王」紙盒裡裝著一捲全新的公發雙層「Timbersoft」衛生紙。
The roll is empty. You emptied it, remember?	這捲是空的，記得嗎，是你自己用光的。
It seems the last person used all the toilet paper.	看來前一個人把衛生紙全用光了。
Oops. The t.p. dispenser is empty. Good thing you notice it while you're still standing.	糟了，衛生紙盒是空的。還好你現在還站著就發現了。
The toilet paper is all gone. You begin to wonder if the janitor is doing his job.	衛生紙全沒了，你開始懷疑工友是不是有在做事。
They can put men on the moon... but they can't make a dispenser that won't run out of paper!	人類都能送人上月球了……卻做不出一個不會沒紙的衛生紙盒！
Damn! No paper!	可惡！沒紙了！
No time to sit now. Besides, the toilet paper is all gone. You leave the janitor a note to fill the toilet paper dispenser.	現在沒空坐下來，而且衛生紙也用光了。你留了張紙條給工友，請他補衛生紙。
No paper! You wish the chief would stop using this stall.	沒紙了！真希望局長不要再用這間廁所了。
I would have thought you would know the use for toilet paper.	我還以為你會知道衛生紙是做什麼用的。
You can't do that from there...	你在那裡沒辦法那樣做……
They have a name for people who are obsessed with toilets, you know.	你知道嗎，對馬桶著迷的人是有專有名詞的。
You remove your nightstick.	你取下警棍。
You remove your notebook.	你拿出筆記本。
That locker belongs to somebody else, Bonds!	Bonds，那個置物櫃是別人的！
You don't have time to sit down.	你沒有時間坐下來。
Breaking and entering doesn't look good on a policeman's record, Sonny!	Sonny，非法侵入寫進警察的紀錄裡可不好看！
That would only attract attention, don't you think.	那樣只會引人注意，你不覺得嗎。
That won't help you open the locker.	那樣沒辦法幫你打開置物櫃。
You take notes on what you've found in Morales' locker.	你把在 Morales 置物櫃裡發現的東西記下來。
You'd better leave the cocaine here. If it were missing, Morales would get suspicious.	你最好把古柯鹼留在這裡，要是不見了，Morales 會起疑心。
You take notes on what you have found.	你把發現的東西記下來。
You need to get out of here quickly. You don't have time to lounge!	你得趕快離開這裡，沒時間閒晃！
It's bad enough that you're even in here!	你會在這裡就已經夠糟了！
That's not Morales' locker!	那不是 Morales 的置物櫃！
That's the door to the Sergeant's office. Hey, that's you.	那是警佐辦公室的門。嘿，那不就是你嗎。
That's the door to the Sergeant's office.	那是警佐辦公室的門。
That's unnecessary. Just open the door.	沒必要這樣，直接開門就好。
That won't get you anywhere.	那樣不會有什麼幫助。
Thanks to the gang of Doug Oldfield, Chris Hoyt, Kim Bowdish and Mike Larson. The programmers who really deserve the main credit for this game.	感謝 Doug Oldfield、Chris Hoyt、Kim Bowdish 與 Mike Larson 這群夥伴，他們才是真正該為本作居功的程式設計師。
You look over the bulletin board, but see nothing of interest.	你看了一遍佈告欄，但沒看到什麼值得注意的東西。
That's unnecessary.  Just walk through the door.	沒必要這樣，直接走過去就好。
The Vice door is locked.	風化組的門鎖著。
You have a serious talk with Morales...	你和 Morales 進行了一次嚴肅的談話……
I have a complaint here alleging that you were verbally abusive to one of the violators you stopped.	我這裡有一份投訴，指控你對你攔查的一名違規者出言辱罵。
The complaint states that you yelled, screamed and used profanity.	投訴內容指出，你當時大吼大叫還講髒話。
So whaddya want from me? The guy was a jerk!	那你要我怎樣？那傢伙本來就是個混蛋！
He'd of liked to do more than file a complaint - if ya know what I mean.	他原本想做的可不只是投訴而已——你懂我的意思吧。
Continuing the interview you ask...	你繼續問話……
Alright. Why don't YOU tell ME what happened?	好吧。不如你來告訴我到底發生了什麼事？
I pull the guy over, right? He's goin' 75, maybe 80 in a 50 mile zone.	我把那傢伙攔下來，對吧？他在限速50英里的路段開到75，甚至80。
I walk up to the car and BOOM, right away he starts eyein' me and lippin' off.	我走近車子，結果一下子他就開始瞪我、對我頂嘴。
I'm to put up with that crap?	難道我還得忍受那種鳥事？
You ask Officer Morales directly...	你直接問 Morales 警員……
Did you raise your voice and use profanity with the man or not?	你到底有沒有對那個人提高音量、講髒話？
Look - you try bein' a woman cop for just one day. Then tell me how to do my job!	聽好——你自己去當一天女警試試，再來告訴我該怎麼做我的工作！
Truthfully? I don't remember what the hell I said, but whatever it was I had damn good reason!	說實話？我不記得自己到底說了什麼，但不管說了什麼，我都有充分的理由！
Okay, Morales, that's it for now.  Get back on duty and see if you can keep the 'civil' in civil servant.	好了，Morales，先這樣。回去繼續執勤，看你能不能把「公僕」的「公」字做好一點。
Sure, Sarge. Whatever you say.	沒問題，警佐。你說了算。
You think about what you've learned regarding the civilian complaint.	你想起了你對民眾投訴的了解。
UNFOUNDED-\n   You find the complaint unfounded.\nEXONERATED-\n   Not believing the complainant, you exonerate the officer.\nSUSTAINED-\n   Based on the interview, you conclude that disciplinary action is necessary. You sustain the complaint against her.\nUNDETERMINED-\n   Feeling undecided based on the interview, you label the complaint undetermined.	不成立—\n   你認定該投訴不成立。\n無責—\n   你對申訴人的說法不信服，判決該警員無責。\n成立—\n   根據面談內容，你認為必須予以紀律處分。你判定對她的投訴成立。\n待定—\n   對面談結果感到猶豫不決，你將該投訴標示為待定。
You leave the complaint on the Lieutenant's desk.	你把投訴書留在中尉的桌上。
You can take the cop off the street, but you can't take the street out of the cop, eh Sonny?	你可以把警察拉下街道，但拉不掉警察心裡的街道，對吧 Sonny？
Oh well, it's getting stuffy in here anyway. Time to roll.	算了，這裡悶得要命。該出門巡邏了。
You remove a requisition form for a "computer access card." from the basket.	你從籃子裡拿出一份「電腦進出卡」的申請表。
You remove a form from the basket.	你從籃子裡拿出一份表格。
It's a departmental "Disciplinary Action Form" with a note attached.	這是一份部門的「紀律處分表」，附帶一張便條。
The note from the Lieutenant reads...	中尉的便條寫著…
"Bonds, please interview Officer Pat Morales regarding a complaint. The complainant alleges that the officer used profanity and verbally abused him during the issuing of a citation. Determine disciplinary action, if any, based on your interview. Leave this form on my desk when you're done."	「Bonds，請訪談 Pat Morales 警員關於一項投訴。申訴人宣稱該警員在開罰單時用了粗言穢語並言語辱罵他。根據你的訪談決定是否需要紀律處分。完成後把這份表格留在我的桌上。」
Nothing's in there to take.	裡面沒什麼好拿的。
The In/Out basket appears to have something in it.	進出籃看起來裡面有東西。
The In/Out basket is empty.	進出籃是空的。
This is for memos, requests and files.	這是放備忘錄、申請單和檔案的。
You are in homicide division now. Use the your computer there.	你現在在重案組。使用那裡的電腦。
Your computer is already turned on.	你的電腦已經開著。
You are in homicide division now. Use your desk there.	你現在在重案組。使用那裡的辦公桌。
You are in homicide division now. Use the phone there.	你現在在重案組。使用那裡的電話。
Use your own desk.	使用你自己的辦公桌。
Don't mess with the Lieutenant's stuff.	別碰中尉的東西。
Now why would you want to take a garbage can?	你為什麼要拿垃圾桶？
There's nothing even remotely interesting on that bulletin board.	布告欄上沒有什麼有意思的東西。
There's nothing you need in the file drawers.	檔案抽屜裡沒有你需要的東西。
You are in homicide division now. Your new desk and chair are there.	你現在在重案組。你的新辦公桌和椅子在那裡。
Why would you want to sit on that hard visitor's chair when you can sit on your own comfy one?	你為什麼要坐那張硬的訪客椅？你有自己舒服的椅子。
You have your own chair. Leave the Lieutenant's alone.	你有自己的椅子。別動中尉的。
You prefer to catch the criminals - let the lawyers read all that crap.	你還是喜歡抓罪犯—那些法律文件就讓律師去讀吧。
You need a computer access card first.	你得先有一張電腦進出卡。
You insert your computer access card.	你插入你的電腦進出卡。
I'll catch up with you later, Sonny.	我等一下再跟你聯絡，Sonny。
You pick up and read the message...	你拿起並讀著訊息…
Bonds, a Carla Reed called for you. Said she saw the newspaper article about Marie.	Bonds，一個叫 Carla Reed 的人來找你。她說她看到了關於 Marie 的報紙報導。
Better get on over there. I think she may have something for you.	最好趕快過去。我想她也許有什麼要告訴你。
Strange address though. 325 South Second St. That's the old industrial park.	不過地址滿奇怪的。South Second 街 325 號。那是舊工業區。
Sonny, Dr. Wagner called and would like you to stop by the hospital.	Sonny，Wagner 醫生來過電話，希望你去醫院一趟。
You pick up a message from the Captain.	你拿起警監的訊息。
Sonny, drive out to the 300 block of W. Rose. There's a murder victim that you better have a look at.	Sonny，開車去 W. Rose 300 街區。有具命案現場，你最好去看一下。
You remove the subpoena.	你取下傳票。
"You are commanded to appear in the Lytton Municipal Court as a witness in the case of People VS. Juan Ruiz."	「你奉令在 Lytton 市法院出庭，作為人民訴 Juan Ruiz 一案的證人。」
You remember that you cited Mr. Ruiz for impeding traffic.	你想起你曾因妨礙交通的罪名開罰單給 Ruiz 先生。
The note reads:"Sonny, Dr. Wagner called again to remind you that it is important for you to see Marie every day."	便條上寫著：「Sonny，Wagner 醫生再次來電提醒你，重要的是你每天都要去看 Marie。」
Afternoon, Bonds!	午安，Bonds！
Hey, Sonny. I'm goin' to the locker room. If ya get lonely, just holler, eh? Oh, and don't let anybody mess with my stuff.	嘿，Sonny。我要去置物櫃室。如果你覺得無聊，就喊我啦，好嗎？對了，別讓人亂動我的東西。
I was just on my way to the locker room. I'll be back in a minute, if you need me.	我正要去置物櫃室。如果你需要我，我馬上就回來。
We got a call for a homicide at the 300 block of west Rose. I'll meet you in the garage.	我們收到西 Rose 300 街區有命案的通報。我在停車庫跟你會合。
Gotta take care of some woman stuff Bonds. Be right back.	得去處理點女人的事情，Bonds。馬上回來。
Yo Bonds! Be back in a sec.	呦，Bonds！一下子就回來。
Sergeant, don't you think you'd better get back out on the streets where you belong?	警佐，你不覺得應該回到街上去嗎？
Sergeant Bonds. Good to see you. Sorry I can't talk. Got an Internal Affairs meeting, and I have to finish writing this report.	警佐 Bonds。很高興見到你。抱歉我不能談。我有內部事務部門的會議，還得完成這份報告。
Welcome back, Bonds.	歡迎回來，Bonds。
I'm sorry to hear about your wife, Marie.	很遺憾聽說你的妻子 Marie 出事了。
I'm assigning you to her case, since I know you won't be able to concentrate on anything else.	我指派你負責她的案子，因為我知道你無法專注在其他事情上。
Marie's case number is 199144.	Marie 的案號是 199144。
You might want to review another stabbing case to see if there are any similarities.	你可能想檢查另一起刺殺案件，看看有沒有類似的地方。
That case number is 199137.	那個案號是 199137。
